,ID,type,$b_{TSMD}$,$m_{TSMD}$,$v_{TSMD}$,$K_{TSMD}$,$\alpha_{TSMD}$,$v_{mean}$,$D_{v}$,$a_{v}$,$D_{\theta}$,$a_{\theta}$,$\tau$,$\beta$,$\alpha_{1}$,$\alpha_{2}$
73,BT11A-2,IB,-18.158,6.2,0.49,0.98,1.58,1.78,0.01,0.02,17.0,0.01,0.0,-4.98,0.32,-0.51
74,BT11A-3,IB,-4.309,2.859,0.31,1.15,1.32,1.93,0.01,0.03,0.14,0.02,20.92,-0.6,1.79,0.21
75,BT11A-4,IB,-4.168,1.883,0.28,0.46,1.48,1.83,0.01,0.05,9.08,0.0,514316758120766.4,6.34,1.61,0.19
76,BT11B-1,GF,-44.454,15.964,0.77,3.01,1.51,2.11,0.02,-0.01,1.98,0.01,5563.57,2.78,1.09,-0.23
77,BT11B-2,GF,-15.17,8.593,0.57,2.88,1.39,1.99,0.01,0.01,1.57,0.02,178642.35,7.7,1.39,-0.56
78,BT11B-3,GF,-30.067,13.458,0.72,3.52,1.44,2.04,0.01,-0.01,3.84,0.03,11287.75,7.39,1.4,0.29
79,BT11B-4,GF,-4.33,2.287,0.3,0.7,1.41,1.65,0.01,-0.02,1.51,0.09,26.68,-2.93,1.27,-0.52
80,BT12A-1,RW,-0.754,24.495,0.85,-4.16,0.0,3.19,0.02,-0.0,9.69,0.0,3410.66,4.19,1.24,0.64
81,BT12A-2,GF,-13.26,6.571,0.45,2.21,1.34,2.07,0.0,0.01,12.55,0.02,1432.24,13.19,0.97,0.33
82,BT12A-3,IB,-3.73,1.312,0.23,0.21,1.58,1.8,0.0,0.01,12.57,0.0,343607261193.08,5.05,1.17,-0.63
83,BT12A-4,GF,-21.508,7.991,0.56,1.5,1.53,1.85,0.01,0.01,8.56,0.02,99.75,-2.21,1.65,-0.3
84,BT12B-1,RW,-126.86,52.854,1.43,-3.65,0.0,2.36,0.0,0.0,0.39,0.0,98.11,0.46,1.7,1.08
85,BT12B-2,GF,-2.02,1.747,0.23,0.84,1.27,1.3,0.0,0.01,8.62,0.01,739.28,2.93,1.04,-0.63
86,BT12B-3,GF,-4.794,2.484,0.28,0.87,1.34,1.31,0.0,0.01,0.61,0.01,772271.06,11.18,1.35,-0.6
87,BT12B-4,GF,-4.531,1.962,0.24,0.62,1.34,1.29,0.0,0.01,0.23,0.0,18.12,-2.72,1.43,-0.57
88,BT13A-1,RW,0.791,28.316,0.83,-3.87,0.0,3.31,0.02,-0.0,19.89,0.0,564.22,1.67,1.28,0.78
89,BT13A-2,RW,-92.528,38.816,1.23,9.14,1.47,2.22,0.0,-0.0,3.26,0.0,2.18,-0.92,1.12,0.72
90,BT13A-3,RW,-90.45,38.482,1.22,9.27,1.46,2.19,0.0,-0.0,0.53,0.02,30.92,-0.35,1.72,0.68
91,BT13A-4,RW,-57.202,24.556,0.97,6.15,1.45,1.78,0.0,-0.0,0.97,0.02,0.3,-1.03,1.1,0.59
92,BT13B-1,RW,-115.396,48.288,1.36,-4.11,0.0,2.68,0.01,-0.0,2.45,0.02,376.49,0.78,1.5,0.74
93,BT13B-2,WF,-115.919,47.261,1.29,-4.13,0.0,2.33,0.0,-0.0,5.15,0.0,0.18,-1.33,1.21,0.84
94,BT13B-3,WF,-94.178,31.922,1.13,4.85,1.59,1.67,0.0,0.0,2.08,0.0,0.0,-1.8,0.49,0.33
95,BT13B-4,WF,-77.56,28.697,1.08,5.27,1.55,1.84,0.0,-0.0,7.21,0.01,0.0,-2.01,0.56,0.29
96,BT14A-1,RW,-39.024,27.545,0.94,12.11,1.3,2.4,0.0,-0.0,2.28,0.01,242.25,0.45,1.82,0.93
97,BT14A-2,IB,0.068,0.046,0.0,0.06,1.03,1.11,0.0,0.0,29.76,0.0,2.2092336552651815e+162,58.32,0.0,0.0
98,BT14A-3,GF,-15.642,9.106,0.59,3.13,1.38,2.04,0.01,-0.01,2.69,0.02,48776.19,4.34,1.29,0.05
99,BT14A-4,GF,-13.788,6.905,0.51,2.08,1.41,1.99,0.0,0.01,0.25,0.01,7874.15,8.14,1.36,-0.0
100,BT14B-1,IB,-10.524,5.768,0.4,2.42,1.28,1.67,0.0,0.0,115.76,0.01,226.04,-0.08,1.98,0.77
101,BT14B-2,RW,-8.548,4.387,0.31,1.96,1.23,1.51,0.0,0.0,42.34,0.01,6118.77,0.59,1.81,-0.25
102,BT14B-3,IB,-4.147,2.033,0.27,0.64,1.38,1.24,0.0,0.0,81.93,0.01,0.01,-2.29,1.55,-0.59
103,BT14B-4,IB,-2.996,2.632,0.2,1.72,1.14,1.54,0.0,0.0,3.5,0.01,4416.01,0.82,1.75,0.21
104,BT15A-1,RW,-96.869,49.302,1.34,180.28,0.0,2.62,0.0,0.0,2.52,0.0,307.21,0.43,1.82,0.85
105,BT15A-2,IB,-13.374,6.263,0.48,1.78,1.41,2.18,0.01,-0.01,19.97,0.01,4279.24,0.65,1.83,0.45
106,BT15A-3,RW,-41.881,16.133,0.8,3.23,1.52,1.56,0.0,0.0,3.66,0.0,13.24,-0.7,1.79,0.28
107,BT15A-4,GF,-2.456,0.948,0.18,0.22,1.46,1.63,0.0,0.04,0.66,0.01,925367.7,3.23,1.15,-0.62
108,BT15B-1,GF,-36.998,16.539,0.82,4.0,1.48,2.33,0.01,-0.01,2.73,0.04,0.0,-382.83,0.0,-0.7
109,BT15B-2,IB,-3.518,1.198,0.2,0.22,1.5,0.96,0.0,0.01,1.7,0.0,647158345.83,3.54,1.17,-0.63
110,BT15B-3,RW,-97.728,36.902,1.26,6.47,1.57,2.48,0.02,-0.0,1.39,0.0,8036917.94,5.83,1.42,0.74
111,BT15B-4,WF,-203.109,73.761,1.73,12.85,1.56,2.5,0.0,-0.0,1.35,0.0,61.92,1.16,1.14,0.93
112,BT18A-1,IB,-0.332,0.205,0.07,0.09,1.25,0.97,0.0,0.0,15.19,0.01,0.0,-8.98,0.63,-0.66
113,BT18A-2,GF,-6.528,5.789,0.44,2.79,1.29,2.64,0.02,0.01,2.6,0.0,4013377.56,223.97,1.44,-0.7
114,BT18A-3,IB,-19.797,8.902,0.55,2.55,1.4,2.24,0.01,-0.01,47.55,0.0,138.35,0.03,1.85,0.67
115,BT18A-4,RW,-34.954,17.173,0.82,5.03,1.42,1.82,0.0,-0.0,28.35,0.0,3121.5,1.32,1.85,0.13
116,BT18B-1,GF,-7.726,2.89,0.34,0.53,1.55,1.25,0.0,0.01,7.5,0.0,842.46,1.96,1.61,-0.34
117,BT18B-2,GF,-1.82,0.689,0.15,0.16,1.43,0.93,0.0,0.0,48.7,0.0,1818.12,2.91,1.06,-0.67
118,BT18B-3,RW,-40.559,12.956,0.72,1.69,1.63,1.59,0.0,0.0,0.34,0.01,437.63,1.18,1.77,0.61
119,BT18B-4,GF,-24.839,7.661,0.55,0.9,1.66,1.45,0.0,-0.01,7.49,0.0,3224.13,3.24,1.28,0.17
